Category	GO_ID	GO_term	Annotated_HOGs	Foreground_HOGs	Expected_HOGs	Fold_enrichment	weight01_P	Contributing HOGs	Contributing consensus HOG names
Nutrient metabolism	GO:0006635	fatty acid beta-oxidation	26	13	1.88	6.91	5.1e-9	N13.HOG0002821;N13.HOG0005679;N13.HOG0006063;N13.HOG0006510;N13.HOG0007413;N13.HOG0007686;N13.HOG0007797;N13.HOG0007897;N13.HOG0007931;N13.HOG0008139;N13.HOG0008494;N13.HOG0008677;N13.HOG0008908	yip2; Akt; Acat1; Etf-QO; enoyl-CoA delta isomerase 1, mitochondrial; Echs1; Mtpalpha; Arc42; Pmp70; methylglutaconyl-CoA hydratase, mitochondrial; Pex5; Acadvl; Mtpbeta
Nutrient metabolism	GO:0006805	xenobiotic metabolic process	229	45	16.58	2.71	1.3e-8	N13.HOG0001720;N13.HOG0001742;N13.HOG0001967;N13.HOG0002474;N13.HOG0002708;N13.HOG0002709;N13.HOG0002865;N13.HOG0003761;N13.HOG0003997;N13.HOG0004383;N13.HOG0004659;N13.HOG0004983;N13.HOG0005080;N13.HOG0005107;N13.HOG0005222;N13.HOG0005558;N13.HOG0005679;N13.HOG0005767;N13.HOG0005834;N13.HOG0005897;N13.HOG0005899;N13.HOG0006012;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006510;N13.HOG0006699;N13.HOG0006706;N13.HOG0006707;N13.HOG0006806;N13.HOG0007164;N13.HOG0007555;N13.HOG0007575;N13.HOG0007840;N13.HOG0007988;N13.HOG0008012;N13.HOG0008016;N13.HOG0008484;N13.HOG0008882;N13.HOG0009118;N13.HOG0010084;N13.HOG0011003;N13.HOG0011999	Cyt-b5; L-lactate dehydrogenase; kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; Vha100-1; peroxiredoxin-like protein; Men; glyceraldehyde-3-phosphate dehydrogenase 2; juvenile hormone epoxide hydrolase 1; ScsbetaA; rudimentary; valacyclovir hydrolase; Cth; pyridoxine-5'-phosphate oxidase-like / pyridoxine/pyridoxamine 5'-phosphate oxidase-like; Idgf4; Sam-S; Cat; Akt; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; Parp1; nicotinamidase; TER94; pug; Acat1; Adsl; Prps; Hex-A; Pgi; Etf-QO; Gnmt; Ahcy; acyl-CoA synthetase short-chain family member 3, mitochondrial; aralar1; SCOT; putative N-acetylglucosamine-6-phosphate deacetylase / N-acetylglucosamine-6-phosphate deacetylase; Nipsnap; Pfrx; Fdh; Idh; Mccc1; Tpi; hydroxypyruvate reductase / D-3-phosphoglycerate dehydrogenase; Shmt; cytoplasmic aconitate hydratase; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial; Stat92E
Nutrient metabolism	GO:0046365	monosaccharide catabolic process	20	9	1.45	6.21	4e-6	N13.HOG0001742;N13.HOG0001745;N13.HOG0002865;N13.HOG0005629;N13.HOG0006174;N13.HOG0006298;N13.HOG0006783;N13.HOG0007840;N13.HOG0008484	L-lactate dehydrogenase; aldose reductase-like / aldo-keto reductase family 1 member B1-like; glyceraldehyde-3-phosphate dehydrogenase 2; xylulose kinase; Hex-A; Pgi; Had1; Pfrx; Tpi
Nutrient metabolism	GO:0009168	purine ribonucleoside monophosphate biosynthetic process	44	13	3.19	4.08	7.7e-6	N13.HOG0001742;N13.HOG0002474;N13.HOG0002865;N13.HOG0005767;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006806;N13.HOG0007469;N13.HOG0007575;N13.HOG0007840;N13.HOG0008484	L-lactate dehydrogenase; Vha100-1; glyceraldehyde-3-phosphate dehydrogenase 2; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; Adsl; Prps; Hex-A; Pgi; aralar1; bur; Nipsnap; Pfrx; Tpi
Nutrient metabolism	GO:0006767	water-soluble vitamin metabolic process	28	10	2.03	4.93	1.4e-5	N13.HOG0001720;N13.HOG0001745;N13.HOG0002563;N13.HOG0005080;N13.HOG0005767;N13.HOG0005897;N13.HOG0006012;N13.HOG0006699;N13.HOG0008016;N13.HOG0009118	Cyt-b5; aldose reductase-like / aldo-keto reductase family 1 member B1-like; solute carrier family 2, facilitated glucose transporter member 1; pyridoxine-5'-phosphate oxidase-like / pyridoxine/pyridoxamine 5'-phosphate oxidase-like; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; nicotinamidase; pug; Gnmt; Mccc1; Shmt
Nutrient metabolism	GO:0043648	dicarboxylic acid metabolic process	41	12	2.97	4.04	1.9e-5	N13.HOG0001967;N13.HOG0002709;N13.HOG0003997;N13.HOG0005438;N13.HOG0005767;N13.HOG0005902;N13.HOG0006012;N13.HOG0006699;N13.HOG0006902;N13.HOG0008012;N13.HOG0009118;N13.HOG0011999	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; Men; ScsbetaA; alanine aminotransferase 1; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; Got2; pug; Gnmt; D2hgdh; Idh; Shmt; Stat92E
Nutrient metabolism	GO:0170035	L-amino acid catabolic process	29	10	2.1	4.76	2e-5	N13.HOG0001967;N13.HOG0005222;N13.HOG0005438;N13.HOG0005902;N13.HOG0006706;N13.HOG0008016;N13.HOG0008139;N13.HOG0008957;N13.HOG0009118;N13.HOG0011003	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial; Sam-S; alanine aminotransferase 1; Got2; Ahcy; Mccc1; methylglutaconyl-CoA hydratase, mitochondrial; isovaleryl-CoA dehydrogenase, mitochondrial; Shmt; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial
Nutrient metabolism	GO:1901137	carbohydrate derivative biosynthetic process	228	41	16.51	2.48	2.4e-5	N13.HOG0001742;N13.HOG0001745;N13.HOG0002474;N13.HOG0002563;N13.HOG0002865;N13.HOG0003614;N13.HOG0004055;N13.HOG0004383;N13.HOG0005629;N13.HOG0005767;N13.HOG0005834;N13.HOG0005899;N13.HOG0006063;N13.HOG0006106;N13.HOG0006169;N13.HOG0006174;N13.HOG0006298;N13.HOG0006468;N13.HOG0006495;N13.HOG0006518;N13.HOG0006783;N13.HOG0006806;N13.HOG0006946;N13.HOG0007037;N13.HOG0007211;N13.HOG0007450;N13.HOG0007469;N13.HOG0007555;N13.HOG0007575;N13.HOG0007789;N13.HOG0007833;N13.HOG0007840;N13.HOG0008133;N13.HOG0008395;N13.HOG0008484;N13.HOG0008502;N13.HOG0008679;N13.HOG0009118;N13.HOG0009991;N13.HOG0010849;N13.HOG0011005	L-lactate dehydrogenase; aldose reductase-like / aldo-keto reductase family 1 member B1-like; Vha100-1; solute carrier family 2, facilitated glucose transporter member 1; glyceraldehyde-3-phosphate dehydrogenase 2; beta-hexosaminidase subunit beta; RnrL; rudimentary; xylulose kinase; bifunctional purine biosynthesis protein PURH / bifunctional purine biosynthesis protein ATIC; Parp1; TER94; Acat1; Adsl; Prps; Hex-A; Pgi; apyrase / soluble calcium-activated nucleotidase 1; Gmppb; purine nucleoside phosphorylase; Had1; aralar1; Gmd; Psn; l(2)k01209; BckdhA; bur; putative N-acetylglucosamine-6-phosphate deacetylase / N-acetylglucosamine-6-phosphate deacetylase; Nipsnap; Ost48; Grasp65; Pfrx; OstDelta; Pdk; Tpi; Ppcs; Rpn1; Shmt; Alg9; egh; Chsy
Nutrient metabolism	GO:0006081	aldehyde metabolic process	25	9	1.81	4.97	3.5e-5	N13.HOG0001745;N13.HOG0002865;N13.HOG0005080;N13.HOG0005902;N13.HOG0006298;N13.HOG0008012;N13.HOG0008484;N13.HOG0008818;N13.HOG0011003	aldose reductase-like / aldo-keto reductase family 1 member B1-like; glyceraldehyde-3-phosphate dehydrogenase 2; pyridoxine-5'-phosphate oxidase-like / pyridoxine/pyridoxamine 5'-phosphate oxidase-like; Got2; Pgi; Idh; Tpi; Rpi; alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial
Nutrient metabolism	GO:0009112	nucleobase metabolic process	21	8	1.52	5.26	6.1e-5	N13.HOG0003079;N13.HOG0004055;N13.HOG0004383;N13.HOG0006012;N13.HOG0006169;N13.HOG0007211;N13.HOG0007469;N13.HOG0009118	probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial; RnrL; rudimentary; pug; Prps; l(2)k01209; bur; Shmt
