species	source	busco_version	lineage	mode	busco_C_pct	busco_S_pct	busco_D_pct	busco_F_pct	busco_M_pct	busco_n	n_complete	n_single	n_duplicated	n_fragmented	n_missing
Acromyrmex_echinatior	NCBI	6.0.0	insecta_odb10	proteins	99.3	98.5	0.9	0.3	0.4	1367	1358	1346	12	4	5
Ancistrocerus_nigricornis	ENSEMBL	6.0.0	insecta_odb10	proteins	93.5	92.1	1.4	0.6	5.9	1367	1278	1259	19	8	81
Andrena_flavipes	ENSEMBL	6.0.0	insecta_odb10	proteins	97.4	96.9	0.5	0.8	1.8	1367	1331	1324	7	11	25
Anoplius_nigerrimus	ENSEMBL	6.0.0	insecta_odb10	proteins	96.1	95	1.2	0.5	3.4	1367	1314	1298	16	7	46
Apis_cerana	NCBI	6.0.0	insecta_odb10	proteins	99.5	98.8	0.7	0.1	0.4	1367	1360	1351	9	1	6
Apis_dorsata	NCBI	6.0.0	insecta_odb10	proteins	98.5	98.2	0.4	0.7	0.8	1367	1347	1342	5	9	11
Apis_florea	NCBI	6.0.0	insecta_odb10	proteins	98.8	98.5	0.4	0.4	0.8	1367	1351	1346	5	5	11
Apis_laboriosa	NCBI	6.0.0	insecta_odb10	proteins	99.3	99	0.4	0.1	0.5	1367	1358	1353	5	2	7
Apis_mellifera	NCBI	6.0.0	insecta_odb10	proteins	99.1	98.8	0.4	0.1	0.7	1367	1355	1350	5	2	10
Atta_cephalotes	NCBI	6.0.0	insecta_odb10	proteins	98.1	97.4	0.7	0.7	1.2	1367	1341	1331	10	9	17
Belonocnema_kinseyi	NCBI	6.0.0	insecta_odb10	proteins	97	95.9	1.1	1.5	1.5	1367	1326	1311	15	21	20
Bombus_campestris	ENSEMBL	6.0.0	insecta_odb10	proteins	96.3	95.2	1.1	1	2.7	1367	1317	1302	15	13	37
Bombus_hortorum	ENSEMBL	6.0.0	insecta_odb10	proteins	97.2	96.8	0.4	0.8	2	1367	1329	1323	6	11	27
Bombus_hypnorum	ENSEMBL	6.0.0	insecta_odb10	proteins	96.8	96.1	0.7	0.7	2.5	1367	1323	1314	9	10	34
Bombus_impatiens	NCBI	6.0.0	insecta_odb10	proteins	99.5	99	0.5	0	0.5	1367	1360	1353	7	0	7
Bombus_lapidarius	ENSEMBL	6.0.0	insecta_odb10	proteins	95.5	95.1	0.4	1	3.4	1367	1306	1300	6	14	47
Bombus_monticola	ENSEMBL	6.0.0	insecta_odb10	proteins	96.9	96.2	0.7	0.9	2.3	1367	1324	1315	9	12	31
Bombus_muscorum	ENSEMBL	6.0.0	insecta_odb10	proteins	96.3	95.7	0.6	1.2	2.6	1367	1316	1308	8	16	35
Bombus_pascuorum	NCBI	6.0.0	insecta_odb10	proteins	99.7	99	0.7	0.1	0.2	1367	1363	1353	10	1	3
Bombus_pratorum	ENSEMBL	6.0.0	insecta_odb10	proteins	97	96.4	0.6	0.5	2.5	1367	1326	1318	8	7	34
Bombus_sylvestris	ENSEMBL	6.0.0	insecta_odb10	proteins	96.2	95.5	0.7	1	2.9	1367	1315	1306	9	13	39
Bombus_terrestris	NCBI	6.0.0	insecta_odb10	proteins	99.4	98.7	0.7	0.1	0.5	1367	1359	1349	10	1	7
Bombus_vestalis	ENSEMBL	6.0.0	insecta_odb10	proteins	96.6	96.1	0.5	1	2.3	1367	1321	1314	7	14	32
Buathra_laborator	ENSEMBL	6.0.0	insecta_odb10	proteins	98.3	98	0.4	0.2	1.5	1367	1344	1339	5	3	20
Caenorhabditis_elegans	NCBI	6.0.0	nematoda_odb10	proteins	100	99.4	0.5	0	0	3131	3130	3113	17	0	1
Camponotus_floridanus	NCBI	6.0.0	insecta_odb10	proteins	99.3	98.3	1	0.2	0.5	1367	1357	1344	13	3	7
Ceratina_calcarata	NCBI	6.0.0	insecta_odb10	proteins	98	95.5	2.5	1	1.1	1367	1339	1305	34	13	15
Colletes_latitarsis	NCBI	6.0.0	insecta_odb10	proteins	99.3	98.5	0.7	0.3	0.4	1367	1357	1347	10	4	6
Copidosoma_floridanum	NCBI	6.0.0	insecta_odb10	proteins	97.7	94.5	3.1	0.7	1.6	1367	1335	1292	43	10	22
Dolichovespula_media	ENSEMBL	6.0.0	insecta_odb10	proteins	95.3	94.1	1.2	0.9	3.8	1367	1303	1286	17	12	52
Dolichovespula_saxonica	ENSEMBL	6.0.0	insecta_odb10	proteins	97.2	95.3	1.9	0.6	2.2	1367	1329	1303	26	8	30
Dolichovespula_sylvestris	ENSEMBL	6.0.0	insecta_odb10	proteins	96.7	94.8	1.9	0.7	2.6	1367	1322	1296	26	9	36
Drosophila_melanogaster	NCBI	6.0.0	insecta_odb10	proteins	99.9	98.9	1	0	0.1	1367	1366	1352	14	0	1
Dufourea_novaeangliae	NCBI	6.0.0	insecta_odb10	proteins	99.3	98.9	0.4	0.1	0.5	1367	1358	1352	6	2	7
Eufriesea_mexicana	NCBI	6.0.0	insecta_odb10	proteins	98.8	96.8	2	0.2	1	1367	1351	1323	28	3	13
Gasteruption_jaculator	ENSEMBL	6.0.0	insecta_odb10	proteins	94	91.7	2.3	1.8	4.2	1367	1285	1253	32	24	58
Habropoda_laboriosa	NCBI	6.0.0	insecta_odb10	proteins	99.4	98.9	0.5	0.2	0.4	1367	1359	1352	7	3	5
Halictus_rubicundus	NCBI	6.0.0	insecta_odb10	proteins	99.6	98.3	1.2	0.1	0.3	1367	1361	1344	17	2	4
Harpegnathos_saltator	NCBI	6.0.0	insecta_odb10	proteins	99.7	98.2	1.5	0.1	0.1	1367	1363	1343	20	2	2
Lasioglossum_calceatum	ENSEMBL	6.0.0	insecta_odb10	proteins	97.8	96	1.8	0.5	1.7	1367	1337	1312	25	7	23
Lasioglossum_lativentre	ENSEMBL	6.0.0	insecta_odb10	proteins	97.9	96.9	1	0.3	1.8	1367	1338	1325	13	4	25
Lasioglossum_morio	ENSEMBL	6.0.0	insecta_odb10	proteins	97.7	95.5	2.1	0.7	1.7	1367	1335	1306	29	9	23
Linepithema_humile	NCBI	6.0.0	insecta_odb10	proteins	99.5	98.3	1.2	0.1	0.4	1367	1360	1344	16	2	5
Macropis_europaea	ENSEMBL	6.0.0	insecta_odb10	proteins	97.6	96.8	0.8	0.4	2	1367	1334	1323	11	6	27
Megachile_rotundata	NCBI	6.0.0	insecta_odb10	proteins	99.3	98.8	0.5	0.1	0.6	1367	1358	1351	7	1	8
Megalopta_genalis	NCBI	6.0.0	insecta_odb10	proteins	99.9	98.2	1.7	0	0.1	1367	1365	1342	23	0	2
