Node	HOG	change	pvalue	direction
19	N0.HOG0000158	4	0.000838375	expansion
20	N0.HOG0000101	6	0.00287406	expansion
20	N0.HOG0000032	7	0.00419161	expansion
20	N0.HOG0000158	6	0.00447613	expansion
20	N0.HOG0000108	4	0.0154907	expansion
20	N0.HOG0000056	4	0.0413745	expansion
21	N0.HOG0000032	18	1.23381e-07	expansion
21	N0.HOG0000101	11	5.91175e-05	expansion
21	N0.HOG0000951	6	0.000172209	expansion
21	N0.HOG0000047	6	0.000278592	expansion
21	N0.HOG0000002	5	0.00115509	expansion
21	N0.HOG0000122	3	0.00306604	expansion
21	N0.HOG0002570	3	0.00306604	expansion
21	N0.HOG0000041	4	0.00460137	expansion
21	N0.HOG0000096	4	0.0165151	expansion
21	N0.HOG0000001	3	0.0237129	expansion
21	N0.HOG0000018	3	0.0449508	expansion
21	N0.HOG0000038	3	0.0449508	expansion
21	N0.HOG0000050	-5	0.0461354	contraction
22	N0.HOG0000122	6	6.73238e-05	expansion
22	N0.HOG0000128	-4	0.00758112	contraction
22	N0.HOG0000307	-2	0.0122525	contraction
22	N0.HOG0000056	5	0.0183195	expansion
22	N0.HOG0000101	6	0.0212828	expansion
22	N0.HOG0000009	3	0.0263277	expansion
22	N0.HOG0000001	3	0.0390494	expansion
22	N0.HOG0000047	-3	0.0462545	contraction
22	N0.HOG0000118	-2	0.0487388	contraction
23	N0.HOG0000017	5	0.000522856	expansion
23	N0.HOG0000041	4	0.00381833	expansion
23	N0.HOG0000038	3	0.0188247	expansion
23	N0.HOG0000096	3	0.0407888	expansion
23	N0.HOG0002570	2	0.0486185	expansion
24	N0.HOG0000101	-9	2.81461e-05	contraction
24	N0.HOG0000060	-5	0.00117028	contraction
24	N0.HOG0000122	-4	0.00162547	contraction
24	N0.HOG0000118	-2	0.00231199	contraction
24	N0.HOG0000108	-2	0.0112413	contraction
24	N0.HOG0000096	-3	0.0182076	contraction
24	N0.HOG0000038	3	0.0216842	expansion
25	N0.HOG0000050	11	0.000801973	expansion
25	N0.HOG0000108	8	0.000943866	expansion
25	N0.HOG0000018	-3	0.0308355	contraction
26	N0.HOG0000032	-7	0.000130021	contraction
26	N0.HOG0000108	11	0.000202037	expansion
26	N0.HOG0000038	-4	0.000824985	contraction
26	N0.HOG0000041	-2	0.0234074	contraction
26	N0.HOG0000118	-2	0.0234074	contraction
26	N0.HOG0000049	6	0.0258568	expansion
27	N0.HOG0000017	-4	8.01667e-05	contraction
27	N0.HOG0000128	-3	0.00129189	contraction
27	N0.HOG0000009	-2	0.0074496	contraction
29	N0.HOG0000009	22	3.32516e-14	expansion
29	N0.HOG0000038	13	1.27691e-08	expansion
29	N0.HOG0000158	17	9.47517e-07	expansion
29	N0.HOG0000032	10	0.000151027	expansion
29	N0.HOG0000105	9	0.000229222	expansion
29	N0.HOG0000096	5	0.000880443	expansion
29	N0.HOG0000128	-4	0.00117212	contraction
29	N0.HOG0000041	4	0.00164536	expansion
29	N0.HOG0000101	7	0.00227611	expansion
29	N0.HOG0000017	-4	0.00303641	contraction
29	N0.HOG0000050	10	0.0045812	expansion
29	N0.HOG0000022	-5	0.00944085	contraction
29	N0.HOG0000003	5	0.0436319	expansion
30	N0.HOG0000038	10	3.4615e-10	expansion
30	N0.HOG0000041	5	1.46356e-06	expansion
30	N0.HOG0000158	-3	0.0310724	contraction
30	N0.HOG0000001	-1	0.0394406	contraction
30	N0.HOG0000108	-2	0.0425549	contraction
31	N0.HOG0000158	-6	0.00132299	contraction
31	N0.HOG0000017	3	0.0115822	expansion
32	N0.HOG0000101	-3	0.00286706	contraction
32	N0.HOG0000032	-2	0.0415081	contraction
32	N0.HOG0000158	-2	0.0431361	contraction
32	N0.HOG0000118	1	0.0465956	expansion
Ancistrocerus_nigricornis	N0.HOG0000049	-8	0.0321105	contraction
Ancistrocerus_nigricornis	N0.HOG0000032	-7	0.0327197	contraction
Anoplius_nigerrimus	N0.HOG0000158	1	0	expansion
Anoplius_nigerrimus	N0.HOG0000951	1	0	expansion
Anoplius_nigerrimus	N0.HOG0000018	40	5.13569e-09	expansion
Anoplius_nigerrimus	N0.HOG0000049	-10	0.010168	contraction
Anoplius_nigerrimus	N0.HOG0000004	16	0.0432214	expansion
Dolichovespula_media	N0.HOG0000038	-3	0.00586088	contraction
Dolichovespula_media	N0.HOG0000307	2	0.011521	expansion
Dolichovespula_media	N0.HOG0000032	5	0.0154024	expansion
Dolichovespula_media	N0.HOG0000060	-5	0.0225484	contraction
Dolichovespula_media	N0.HOG0000101	4	0.0312566	expansion
Dolichovespula_saxonica	N0.HOG0000049	7	0.00200298	expansion
Dolichovespula_saxonica	N0.HOG0000022	5	0.00430057	expansion
Dolichovespula_saxonica	N0.HOG0000009	-2	0.0460198	contraction
Dolichovespula_sylvestris	N0.HOG0000049	-11	9.20241e-08	contraction
Dolichovespula_sylvestris	N0.HOG0000022	-7	6.68802e-06	contraction
Dolichovespula_sylvestris	N0.HOG0000118	5	0.000151799	expansion
Dolichovespula_sylvestris	N0.HOG0000101	-4	0.000586831	contraction
Dolichovespula_sylvestris	N0.HOG0000017	6	0.000910577	expansion
Dolichovespula_sylvestris	N0.HOG0000018	2	0.00675339	expansion
Dolichovespula_sylvestris	N0.HOG0000032	-4	0.00684181	contraction
Dolichovespula_sylvestris	N0.HOG0000096	-2	0.011445	contraction
Dolichovespula_sylvestris	N0.HOG0000004	-6	0.0134376	contraction
Dolichovespula_sylvestris	N0.HOG0000003	-4	0.0173103	contraction
