tx	gene_id	Vv154	Vv155	Vv156	Vv158	Vv160	Vv161	Vv165	Vv166	Vv168	Vv169	Vv171	Vv172	Vv175	Vv176	Vv181	Vv183	Vv184	Vv187	Vv188	Vv190	Vv191	Vv193	Vv194	Vv195	Vv197	Vv199	Vv200	Vv201	Vv202	Vv204	Vv205	Vv207	Vv208	Vv210	Vv211	Vv214	Vv215	Vv217	Vv218	Vv219	Vv220	Vv223	Vv224	Vv226	Vv227	Vv228	Vv230	Vv231	Vv232	Vv235	Vv236	Vv239	Vv241	Vv242	Vv243	Vv245	Vv246	Vv248	Vv250	Vv251	Vv252	Vv254	Vv255	Vv257	Vv258	Vv259
XR_007785300.1	LOC127072015	7445.944	7443.996	7418.582	7407.136	7404.077	7405.415	7425.212	7422.125	7434.215	7426.788	7428.741	7428.447	7402.053	7403.714	7406.595	7422.628	7421.546	7425.243	7423.666	7426.244	7436.94	7415.002	7410.557	7396.892	7409.918	7408.878	7415.522	7420.967	7398.856	7412.73	7431.717	7440.363	7430.385	7431.777	7417.791	7424.203	7406.7	7426.69	7416.834	7424.43	7434.659	7421.451	7408.738	7430.58	7436.112	7399.186	7393.912	7426.583	7422.404	7391.733	7388.872	7415.833	7414.659	7421.79	7408.84	7412.378	7398.179	7397.398	7398.585	7387.933	7390.441	7399.642	7414.757	7408.142	7416.067	7411.953
XR_007785299.1	LOC127072015	7425.944	7423.996	7398.582	7387.136	7384.077	7385.415	7405.212	7402.125	7414.215	7406.788	7408.741	7408.447	7382.053	7383.714	7386.595	7402.628	7401.546	7405.243	7403.666	7406.244	7416.94	7395.002	7390.557	7376.892	7389.918	7388.878	7395.522	7400.967	7378.856	7392.73	7411.717	7420.363	7410.385	7411.777	7397.791	7404.203	7386.7	7406.69	7396.834	7404.43	7414.659	7401.451	7388.738	7410.58	7416.112	7379.186	7373.912	7406.583	7402.404	7371.733	7368.872	7395.833	7394.659	7401.79	7388.84	7392.378	7378.179	7377.398	7378.585	7367.933	7370.441	7379.642	7394.757	7388.142	7396.067	7391.953
XR_007785289.1	LOC127072015	7459.944	7457.996	7432.582	7421.136	7418.077	7419.415	7439.212	7436.125	7448.215	7440.788	7442.741	7442.447	7416.053	7417.714	7420.595	7436.628	7435.546	7439.243	7437.666	7440.244	7450.94	7429.002	7424.557	7410.892	7423.918	7422.878	7429.522	7434.967	7412.856	7426.73	7445.717	7454.363	7444.385	7445.777	7431.791	7438.203	7420.7	7440.69	7430.834	7438.43	7448.659	7435.451	7422.738	7444.58	7450.112	7413.186	7407.912	7440.583	7436.404	7405.733	7402.872	7429.833	7428.659	7435.79	7422.84	7426.378	7412.179	7411.398	7412.585	7401.933	7404.441	7413.642	7428.757	7422.142	7430.067	7425.953
XR_007785295.1	LOC127072015	6868.944	6866.996	6841.582	6830.136	6827.077	6828.415	6848.212	6845.125	6857.215	6849.788	6851.741	6851.447	6825.053	6826.714	6829.595	6845.628	6844.546	6848.243	6846.666	6849.244	6859.94	6838.002	6833.557	6819.892	6832.918	6831.878	6838.522	6843.967	6821.856	6835.73	6854.717	6863.363	6853.385	6854.777	6840.791	6847.203	6829.7	6849.69	6839.834	6847.43	6857.659	6844.451	6831.738	6853.58	6859.112	6822.186	6816.912	6849.583	6845.404	6814.733	6811.872	6838.833	6837.659	6844.79	6831.84	6835.378	6821.179	6820.398	6821.585	6810.933	6813.441	6822.642	6837.757	6831.142	6839.067	6834.953
XR_007785293.1	LOC127072015	7203.944	7201.996	7176.582	7165.136	7162.077	7163.415	7183.212	7180.125	7192.215	7184.788	7186.741	7186.447	7160.053	7161.714	7164.595	7180.628	7179.546	7183.243	7181.666	7184.244	7194.94	7173.002	7168.557	7154.892	7167.918	7166.878	7173.522	7178.967	7156.856	7170.73	7189.717	7198.363	7188.385	7189.777	7175.791	7182.203	7164.7	7184.69	7174.834	7182.43	7192.659	7179.451	7166.738	7188.58	7194.112	7157.186	7151.912	7184.583	7180.404	7149.733	7146.872	7173.833	7172.659	7179.79	7166.84	7170.378	7156.179	7155.398	7156.585	7145.933	7148.441	7157.642	7172.757	7166.142	7174.067	7169.953
XR_007785291.1	LOC127072015	7200.944	7198.996	7173.582	7162.136	7159.077	7160.415	7180.212	7177.125	7189.215	7181.788	7183.741	7183.447	7157.053	7158.714	7161.595	7177.628	7176.546	7180.243	7178.666	7181.244	7191.94	7170.002	7165.557	7151.892	7164.918	7163.878	7170.522	7175.967	7153.856	7167.73	7186.717	7195.363	7185.385	7186.777	7172.791	7179.203	7161.7	7181.69	7171.834	7179.43	7189.659	7176.451	7163.738	7185.58	7191.112	7154.186	7148.912	7181.583	7177.404	7146.733	7143.872	7170.833	7169.659	7176.79	7163.84	7167.378	7153.179	7152.398	7153.585	7142.933	7145.441	7154.642	7169.757	7163.142	7171.067	7166.953
XR_007785288.1	LOC127072015	7535.944	7533.996	7508.582	7497.136	7494.077	7495.415	7515.212	7512.125	7524.215	7516.788	7518.741	7518.447	7492.053	7493.714	7496.595	7512.628	7511.546	7515.243	7513.666	7516.244	7526.94	7505.002	7500.557	7486.892	7499.918	7498.878	7505.522	7510.967	7488.856	7502.73	7521.717	7530.363	7520.385	7521.777	7507.791	7514.203	7496.7	7516.69	7506.834	7514.43	7524.659	7511.451	7498.738	7520.58	7526.112	7489.186	7483.912	7516.583	7512.404	7481.733	7478.872	7505.833	7504.659	7511.79	7498.84	7502.378	7488.179	7487.398	7488.585	7477.933	7480.441	7489.642	7504.757	7498.142	7506.067	7501.953
XR_007785297.1	LOC127072015	6868.944	6866.996	6841.582	6830.136	6827.077	6828.415	6848.212	6845.125	6857.215	6849.788	6851.741	6851.447	6825.053	6826.714	6829.595	6845.628	6844.546	6848.243	6846.666	6849.244	6859.94	6838.002	6833.557	6819.892	6832.918	6831.878	6838.522	6843.967	6821.856	6835.73	6854.717	6863.363	6853.385	6854.777	6840.791	6847.203	6829.7	6849.69	6839.834	6847.43	6857.659	6844.451	6831.738	6853.58	6859.112	6822.186	6816.912	6849.583	6845.404	6814.733	6811.872	6838.833	6837.659	6844.79	6831.84	6835.378	6821.179	6820.398	6821.585	6810.933	6813.441	6822.642	6837.757	6831.142	6839.067	6834.953
XR_007785294.1	LOC127072015	7203.944	7201.996	7176.582	7165.136	7162.077	7163.415	7183.212	7180.125	7192.215	7184.788	7186.741	7186.447	7160.053	7161.714	7164.595	7180.628	7179.546	7183.243	7181.666	7184.244	7194.94	7173.002	7168.557	7154.892	7167.918	7166.878	7173.522	7178.967	7156.856	7170.73	7189.717	7198.363	7188.385	7189.777	7175.791	7182.203	7164.7	7184.69	7174.834	7182.43	7192.659	7179.451	7166.738	7188.58	7194.112	7157.186	7151.912	7184.583	7180.404	7149.733	7146.872	7173.833	7172.659	7179.79	7166.84	7170.378	7156.179	7155.398	7156.585	7145.933	7148.441	7157.642	7172.757	7166.142	7174.067	7169.953
XR_007785292.1	LOC127072015	7535.944	7533.996	7508.582	7497.136	7494.077	7495.415	7515.212	7512.125	7524.215	7516.788	7518.741	7518.447	7492.053	7493.714	7496.595	7512.628	7511.546	7515.243	7513.666	7516.244	7526.94	7505.002	7500.557	7486.892	7499.918	7498.878	7505.522	7510.967	7488.856	7502.73	7521.717	7530.363	7520.385	7521.777	7507.791	7514.203	7496.7	7516.69	7506.834	7514.43	7524.659	7511.451	7498.738	7520.58	7526.112	7489.186	7483.912	7516.583	7512.404	7481.733	7478.872	7505.833	7504.659	7511.79	7498.84	7502.378	7488.179	7487.398	7488.585	7477.933	7480.441	7489.642	7504.757	7498.142	7506.067	7501.953
XR_007785298.1	LOC127072015	7621.944	7619.996	7594.582	7583.136	7580.077	7581.415	7601.212	7598.125	7610.215	7602.788	7604.741	7604.447	7578.053	7579.714	7582.595	7598.628	7597.546	7601.243	7599.666	7602.244	7612.94	7591.002	7586.557	7572.892	7585.918	7584.878	7591.522	7596.967	7574.856	7588.73	7607.717	7616.363	7606.385	7607.777	7593.791	7600.203	7582.7	7602.69	7592.834	7600.43	7610.659	7597.451	7584.738	7606.58	7612.112	7575.186	7569.912	7602.583	7598.404	7567.733	7564.872	7591.833	7590.659	7597.79	7584.84	7588.378	7574.179	7573.398	7574.585	7563.933	7566.441	7575.642	7590.757	7584.142	7592.067	7587.953
XR_007785296.1	LOC127072015	7721.944	7719.996	7694.582	7683.136	7680.077	7681.415	7701.212	7698.125	7710.215	7702.788	7704.741	7704.447	7678.053	7679.714	7682.595	7698.628	7697.546	7701.243	7699.666	7702.244	7712.94	7691.002	7686.557	7672.892	7685.918	7684.878	7691.522	7696.967	7674.856	7688.73	7707.717	7716.363	7706.385	7707.777	7693.791	7700.203	7682.7	7702.69	7692.834	7700.43	7710.659	7697.451	7684.738	7706.58	7712.112	7675.186	7669.912	7702.583	7698.404	7667.733	7664.872	7691.833	7690.659	7697.79	7684.84	7688.378	7674.179	7673.398	7674.585	7663.933	7666.441	7675.642	7690.757	7684.142	7692.067	7687.953
XR_007785302.1	LOC127072015	7560.944	7558.996	7533.582	7522.136	7519.077	7520.415	7540.212	7537.125	7549.215	7541.788	7543.741	7543.447	7517.053	7518.714	7521.595	7537.628	7536.546	7540.243	7538.666	7541.244	7551.94	7530.002	7525.557	7511.892	7524.918	7523.878	7530.522	7535.967	7513.856	7527.73	7546.717	7555.363	7545.385	7546.777	7532.791	7539.203	7521.7	7541.69	7531.834	7539.43	7549.659	7536.451	7523.738	7545.58	7551.112	7514.186	7508.912	7541.583	7537.404	7506.733	7503.872	7530.833	7529.659	7536.79	7523.84	7527.378	7513.179	7512.398	7513.585	7502.933	7505.441	7514.642	7529.757	7523.142	7531.067	7526.953
XR_007785301.1	LOC127072015	7646.944	7644.996	7619.582	7608.136	7605.077	7606.415	7626.212	7623.125	7635.215	7627.788	7629.741	7629.447	7603.053	7604.714	7607.595	7623.628	7622.546	7626.243	7624.666	7627.244	7637.94	7616.002	7611.557	7597.892	7610.918	7609.878	7616.522	7621.967	7599.856	7613.73	7632.717	7641.363	7631.385	7632.777	7618.791	7625.203	7607.7	7627.69	7617.834	7625.43	7635.659	7622.451	7609.738	7631.58	7637.112	7600.186	7594.912	7627.583	7623.404	7592.733	7589.872	7616.833	7615.659	7622.79	7609.84	7613.378	7599.179	7598.398	7599.585	7588.933	7591.441	7600.642	7615.757	7609.142	7617.067	7612.953
XR_007785290.1	LOC127072015	7797.944	7795.996	7770.582	7759.136	7756.077	7757.415	7777.212	7774.125	7786.215	7778.788	7780.741	7780.447	7754.053	7755.714	7758.595	7774.628	7773.546	7777.243	7775.666	7778.244	7788.94	7767.002	7762.557	7748.892	7761.918	7760.878	7767.522	7772.967	7750.856	7764.73	7783.717	7792.363	7782.385	7783.777	7769.791	7776.203	7758.7	7778.69	7768.834	7776.43	7786.659	7773.451	7760.738	7782.58	7788.112	7751.186	7745.912	7778.583	7774.404	7743.733	7740.872	7767.833	7766.659	7773.79	7760.84	7764.378	7750.179	7749.398	7750.585	7739.933	7742.441	7751.642	7766.757	7760.142	7768.067	7763.953
XM_051011858.1	LOC127071962	1636.944	1634.996	1609.582	1598.136	1595.077	1596.415	1616.212	1613.125	1625.215	1617.788	1619.741	1619.447	1593.053	1594.714	1597.595	1613.628	1612.546	1616.243	1614.666	1617.244	1627.94	1606.002	1601.557	1587.892	1600.918	1599.878	1606.522	1611.967	1589.856	1603.73	1622.717	1631.363	1621.385	1622.777	1608.791	1615.203	1597.7	1617.69	1607.834	1615.43	1625.659	1612.451	1599.738	1621.58	1627.112	1590.186	1584.912	1617.583	1613.404	1582.733	1579.872	1606.833	1605.659	1612.79	1599.84	1603.378	1589.179	1588.398	1589.585	1578.933	1581.441	1590.642	1605.757	1599.142	1607.067	1602.953
XM_051011887.1	LOC127071962	2021.944	2019.996	1994.582	1983.136	1980.077	1981.415	2001.212	1998.125	2010.215	2002.788	2004.741	2004.447	1978.053	1979.714	1982.595	1998.628	1997.546	2001.243	1999.666	2002.244	2012.94	1991.002	1986.557	1972.892	1985.918	1984.878	1991.522	1996.967	1974.856	1988.73	2007.717	2016.363	2006.385	2007.777	1993.791	2000.203	1982.7	2002.69	1992.834	2000.43	2010.659	1997.451	1984.738	2006.58	2012.112	1975.186	1969.912	2002.583	1998.404	1967.733	1964.872	1991.833	1990.659	1997.79	1984.84	1988.378	1974.179	1973.398	1974.585	1963.933	1966.441	1975.642	1990.757	1984.142	1992.067	1987.953
XM_051011867.1	LOC127071962	1750.944	1748.996	1723.582	1712.136	1709.077	1710.415	1730.212	1727.125	1739.215	1731.788	1733.741	1733.447	1707.053	1708.714	1711.595	1727.628	1726.546	1730.243	1728.666	1731.244	1741.94	1720.002	1715.557	1701.892	1714.918	1713.878	1720.522	1725.967	1703.856	1717.73	1736.717	1745.363	1735.385	1736.777	1722.791	1729.203	1711.7	1731.69	1721.834	1729.43	1739.659	1726.451	1713.738	1735.58	1741.112	1704.186	1698.912	1731.583	1727.404	1696.733	1693.872	1720.833	1719.659	1726.79	1713.84	1717.378	1703.179	1702.398	1703.585	1692.933	1695.441	1704.642	1719.757	1713.142	1721.067	1716.953
